URL,Page name,Audience,Current staging status,Live page type,Component template required,Priority,Migration status
/,Homepage (Ghana DC),Public,Complete — Onix design system,Homepage / Ghana data centre,Homepage (OnixHomePage),1,Complete
/about-us/,About Us,Public,Onix CorporatePageTemplate,Corporate page,Corporate,1,Complete
/o-home/about-us/,About Us (legacy),Public,Redirects to /about-us/,Corporate page,Corporate,1,Redirect
/home/our-solutions/,Our Solutions,Public,Onix SolutionPageTemplate,Solution landing,Solution,1,Complete
/home/infrastructure/,Infrastructure,Public,Onix InfrastructurePageTemplate,Infrastructure landing,Infrastructure,1,Complete
/o-home/senegal/,Senegal Data Centre,Public,Onix DataCentrePageTemplate,Data centre landing,Data Centre,1,Complete
/senegal/,Senegal (alias),Public,Redirects to /o-home/senegal/,Data centre landing,Data Centre,1,Redirect
/o-home/bretttucker/,Brett Tucker,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/edemscott/,Edem Scott,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/kevinopata/,Kevin Opata,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/leonardmckinlay/,Leonard McKinlay,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/mamadoukebe/,Mamadou Kebe,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/michaelthompson/,Michael Thompson,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/paulrichards/,Paul Richards,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/razak-awudulai/,Razak Awudulai,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/samuel-osew-kwatia/,Samuel Osew-Kwatia,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/samuelpolley/,Samuel Polley,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/serwaakankam/,Serwaa Kankam,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/stephenappiah/,Stephen Appiah,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/home/eric-tenkorang/,Eric Tenkorang,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/o-home/senegal/baraawafall/,Bara Awa Fall,Public,Onix LeadershipPageTemplate,Leadership profile,Leadership,1,Complete
/contact-us/,Contact Us,Public,Onix ContactPageTemplate,Contact page,Contact,1,Complete
/home/contact-us/,Contact Us (nav URL),Public,Onix ContactPageTemplate,Contact page,Contact,1,Complete
/home/finance/,Finance,Public,Onix SolutionPageTemplate,Solution detail,Solution,2,Complete
/home/virtual-machine/,Virtual Machines,Public,Onix SolutionPageTemplate,Solution detail,Solution,2,Complete
/home/o-services/,Services,Public,Onix SolutionPageTemplate,Solution detail,Solution,2,Complete
/services/,Services (alias),Public,Onix SolutionPageTemplate,Solution detail,Solution,2,Complete
/home/sustainability/,Sustainability,Public,Onix CorporatePageTemplate,Corporate page,Corporate,4,Complete
/o-home/certification/,Certification,Public,Onix CertificationPageTemplate,Certification page,Certification,4,Complete
/o-home/privacy-policy/,Privacy Policy,Public,Onix CorporatePageTemplate,Legal page,Corporate,4,Complete
/o-home/partners/,Partners,Public,Onix CorporatePageTemplate,Corporate page,Corporate,4,Complete
/partners/,Partners (alias),Public,Onix CorporatePageTemplate,Corporate page,Corporate,4,Complete
/home/cfo/,CFO,Public,Onix CorporatePageTemplate,Corporate page,Corporate,4,Complete
/home/feedback/,Feedback,Public,Onix CorporatePageTemplate,Corporate page,Corporate,4,Complete
/home/onix-team-contact/,Onix Team Contact,Public,Onix ContactPageTemplate,Contact page,Contact,4,Complete
/linxaccra/,LINX Accra,Public,Onix SpecialistPageTemplate,Specialist landing,Specialist,4,Complete
/home/cfo-roi/,CFO ROI,Public,Onix CFO ROI (dedicated route),Specialist tool,Specialist,4,Complete
