article,warning,automated_resolution,final_status,manual_action,notes
/2021/03/04/african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,african-infrastructure-investment-managers-acquires-majority-stake-in-ghana-based-data-centre-2
/2022/11/17/onix-data-centre-announces-azure-stack-partnership-following-africa-tech-festival/,Unsupported Elementor widgets: image-carousel,MANUAL,OPEN,Review Elementor widgets,onix-data-centre-announces-azure-stack-partnership-following-africa-tech-festival
/2023/02/24/onix-ceo-mike-nahons-speech-senegal/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,onix-ceo-mike-nahons-speech-senegal
/2023/03/08/colocation-data-centres/,2 inline media URLs not mapped; Featured image attachment 5696 not mapped,MANUAL,OPEN,Review inline media,colocation-data-centres
/2023/03/23/senegal-the-next-singapore/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,senegal-the-next-singapore
/2023/04/19/cold-aisle-containment-data-centre-cooling/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,cold-aisle-containment-data-centre-cooling
/2023/05/24/fire-suppression-data-centres/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,fire-suppression-data-centres
/2023/06/20/uptime-power-backup-onix-data-centre/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,uptime-power-backup-onix-data-centre
/2023/08/02/solar-data-sustainable-solution/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,solar-data-sustainable-solution
/2023/09/26/resilience-data-centres-natural-disasters/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,resilience-data-centres-natural-disasters
/2023/10/03/healthcare-colocation-data-centre/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,healthcare-colocation-data-centre
/2023/10/31/elevating-government-data-management-colocation-services/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,elevating-government-data-management-colocation-services
/2023/11/09/support-for-south-tongu-flood-relief/,3 inline media URLs not mapped,MANUAL,OPEN,Review inline media,support-for-south-tongu-flood-relief
/2024/01/16/navigating-2024-data-centre-trends/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,navigating-2024-data-centre-trends
/2024/02/20/solar-power-data-centres-sustainable/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,solar-power-data-centres-sustainable
/2024/03/18/digital-resilience-in-west-africa/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,digital-resilience-in-west-africa
/2024/04/03/onix-data-centres-partnership-glico-insurance/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,onix-data-centres-partnership-glico-insurance
/2024/04/24/different-industries-utilise-data-centres/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,different-industries-utilise-data-centres
/2024/05/07/data-centre-innovations-africa-adca-report/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,data-centre-innovations-africa-adca-report
/2024/05/15/transparency-customer-awareness-data-hosting/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,transparency-customer-awareness-data-hosting
/2024/06/11/data-centre-collaboration/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,data-centre-collaboration
/2024/06/20/strengthening-bonds-our-partnership-with-sekoe-chocolate-suppliers/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,strengthening-bonds-our-partnership-with-sekoe-chocolate-suppliers
/2024/07/09/harnessing-ai-renewable-energy/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,harnessing-ai-renewable-energy
/2024/11/19/why-onix-location-genius/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,why-onix-location-genius
/2024/11/13/onix-data-centres-linx-ghana/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,onix-data-centres-linx-ghana
/2024/12/17/santas-secret-data-centres/,1 inline media URLs not mapped,IMPROVED_MATCHER_PENDING_RERUN,OPEN,Review inline media,santas-secret-data-centres
/2025/01/08/5-it-resolutions/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,5-it-resolutions
/2025/01/23/revolutionising-innovation-africa-local-hosting/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,revolutionising-innovation-africa-local-hosting
/2025/02/04/the-true-cost-of-downtime/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,the-true-cost-of-downtime
/2025/02/18/the-power-of-data-synchronisation-building-ghanas-digital-future/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,the-power-of-data-synchronisation-building-ghanas-digital-future
/2025/03/11/africas-tech-industry-challenges/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,africas-tech-industry-challenges
/2025/03/25/africa-digital-infrastructure/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,africa-digital-infrastructure
/2025/04/08/powering-smart-cities-africa-infrastructure/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,powering-smart-cities-africa-infrastructure
/2025/05/06/linx-accra-onix/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,linx-accra-onix
/2025/05/28/carrier-neutral-data-centres/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,carrier-neutral-data-centres
/2025/06/10/data-centres-decarbonisation-africa/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,data-centres-decarbonisation-africa
/2025/07/02/reflections-pan-african-data-centre-conference/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,reflections-pan-african-data-centre-conference
/2025/07/07/linx-accra-launches-ghana/,4 inline media URLs not mapped,MANUAL,OPEN,Review inline media,linx-accra-launches-ghana
/2025/07/22/gctu-students-explore-onix-data-centre/,3 inline media URLs not mapped,MANUAL,OPEN,Review inline media,gctu-students-explore-onix-data-centre
/2025/08/05/ghana-data-centre-powerhouse/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,ghana-data-centre-powerhouse
/2025/08/28/hidden-latency-ghana/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,hidden-latency-ghana
/2025/09/30/local-infrastructure-future-gaming/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,local-infrastructure-future-gaming
/2025/10/13/ghana-afts-accra-2025/,1 inline media URLs not mapped,IMPROVED_MATCHER_PENDING_RERUN,OPEN,Review inline media,ghana-afts-accra-2025
/2025/10/14/linx-accra-live-at-onix/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,linx-accra-live-at-onix
/2025/10/28/africa-digital-cloud-resilience/,"Unsupported Elementor widgets: theme-post-title, post-info, theme-post-featured-image, adte-social-share, wpr-magazine-grid; 1 inline media URLs not mapped; Updated existing (idempotent)",IMPROVED_MATCHER_PENDING_RERUN,OPEN,Review Elementor widgets,africa-digital-cloud-resilience
/2025/11/13/what-is-peering/,1 inline media URLs not mapped; Updated existing (idempotent),MANUAL,OPEN,Review inline media,what-is-peering
/2025/12/08/returnee-onix-data-centre-business/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,returnee-onix-data-centre-business
/2026/01/07/2026-the-year-reliability-becomes-strategy/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,2026-the-year-reliability-becomes-strategy
/2026/01/20/sla-vs-reality-data-centres-uptime/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,sla-vs-reality-data-centres-uptime
/2026/02/05/composable-dynamic-infrastructure/,2 inline media URLs not mapped,IMPROVED_MATCHER_PENDING_RERUN,OPEN,Review inline media,composable-dynamic-infrastructure
/2026/03/09/ghana-independence-69-digital-nation/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,ghana-independence-69-digital-nation
/2026/03/31/africas-ai-future-infrastructure/,1 inline media URLs not mapped,MANUAL,OPEN,Review inline media,africas-ai-future-infrastructure
/2026/04/14/war-conflict-revealing-about-cloud/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,war-conflict-revealing-about-cloud
/2026/04/28/infrastructure-decisions-are-becoming-timing-decisions/,3 inline media URLs not mapped,MANUAL,OPEN,Review inline media,infrastructure-decisions-are-becoming-timing-decisions
/2026/05/19/your-server-room-is-not-a-data-centre/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,your-server-room-is-not-a-data-centre
/2026/06/02/health-data-sovereignty-ghana-digital-health-infrastructure/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,health-data-sovereignty-ghana-digital-health-infrastructure
/2026/06/15/ai-boom-africa-data-centres/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,ai-boom-africa-data-centres
/2026/07/07/when-financial-data-comes-home-what-nigerias-new-direction-means-for-ghana/,2 inline media URLs not mapped,MANUAL,OPEN,Review inline media,when-financial-data-comes-home-what-nigerias-new-direction-means-for-ghana
/2026/07/28/what-happens-inside-a-tier-iv-data-centre-during-a-power-cut/,5 inline media URLs not mapped,MANUAL,OPEN,Review inline media,what-happens-inside-a-tier-iv-data-centre-during-a-power-cut
